texto_interaccion,intencion_cliente,longitud_texto,contiene_urgencia
ayuda nadie atiende mis reslamos mmm,Reclamos,36,0
ola la pantalla se kueda en blanso,Soporte,34,0
exijo solusion inmediata resulta kue sobre mi suenta,Reclamos,52,0
buenos dias aplicacion movil no abre se cierra ahh,Soporte,50,0
por favor quiero contratar telefonia fija este...,Ventas,49,0
buenas cambiar mi fecha de vencimiento mmm,Facturacion,42,0
ola el router tiene la lus roja e,Soporte,33,0
buenas se desconecta a cada rato,Soporte,32,0
buenos dias quiero contratar el servicio pucha o sea rapido,Ventas,59,0
oye quiero comprar un plan ilimitado este... o sea de la aplicacion,Ventas,67,0
ayuda velocidad de internet inestable pucha,Facturacion,43,0
buenos dias que beneficios tiene el plan premium ehh pero de la aplicacion,Ventas,74,0
por favor catalogo de equipos disponibles ahh o sea del servicio,Ventas,64,0
hola quiero pagar mi recibo ehh resulta que rapido,Facturacion,50,0
buenas problemas para ingresar a,Soporte,32,0
por favor cuales son las promociones de internet pucha y del servicio,Ventas,69,0
buenas deseo adquirir fibra simetrica mmm,Ventas,41,0
estimados el servicio de internet esta lento mmm entonces rapido,Soporte,64,0
mi computador no se conecta al servidor osea,Soporte,44,0
informacion de planes este... pero rapido,Ventas,41,0
ayuda no puedo conectar el wifi ehh,Soporte,35,0
buenos dias asesor de ventas por favor este...,Ventas,46,0
metodos de pago abilitados a,Ventas,28,0
me gustaria agregar cable a mi paquete mmm y de la aplicacion,Ventas,61,0
estimados pago con tarjeta rechazado pucha,Facturacion,42,0
oye mi somputador no se sonesta al serbidor pusa entonses son mi tarjeta,Soporte,72,0
estimados me siento estafado con este plan ahh,Reclamos,46,1
buenas detalles del ciclo de facturacion osea,Facturacion,45,0
buenas pagar con tarjeta de credito porque sobre mi cuenta,Facturacion,58,0
por favor se cayo la red,Soporte,24,0
ayuda precios del paquete osea,Ventas,30,0
por favor mi cuenta aparece como suspendida mmm o sea para hoy mismo,Soporte,68,0
oye necesito resetear mi clave de la cuenta ehh y para hoy mismo,Soporte,64,0
por favor costos adicionales por activacion entonces en el sistema,Ventas,66,0
hola no me carga la pagina web mmm o sea de la aplicacion,Soporte,57,0
ayuda el serbisio de internet esta lento mmm y rapido,Soporte,53,0
deseo adquirir fibra simetrica pucha,Ventas,36,0
ayuda mi modem parpadea sin parar osea,Soporte,38,0
buenas planes postpago son gigas libres a,Soporte,41,0
planes postpago son gigas libres,Ventas,32,0
buenas mi suenta registra saldo a fabor osea,Facturacion,44,0
ola mi suenta aparese somo suspendida mmm,Soporte,41,0
ayuda pago con tarjeta rechazado pucha pero del servicio,Facturacion,56,0
hola donde reporto mi comprobante osea pero sobre mi cuenta,Facturacion,59,0
planes familiares de telefonia pucha porque ahora mismo,Ventas,55,0
oye mi suenta aparese somo suspendida este...,Soporte,45,0
hola el monto de este mes es incorrecto,Facturacion,39,0
ayuda el internet va a paso de tortuga mmm,Soporte,42,0
oye quiero suspender el servicio definitivamente mmm,Reclamos,52,0
buenos dias por que aumento el precio del recibo,Facturacion,48,0
buenos dias quiero cancelar mi cuenta ya mmm,Reclamos,44,1
ola pagina web dise error 500 e,Soporte,31,0
oye no me carga la pagina web ehh entonces rapido,Soporte,49,0
buenas kuiero dar de alta mi rus,Facturacion,32,0
buenos dias quiero solicitar un reembolso de cobro o sea para hoy mismo,Facturacion,71,0
oye tengo un problema de conexion con el servicio ehh,Soporte,53,0
el sistema esta saido a,Soporte,23,0
ayuda falla tecnica en la red local osea pero de la aplicacion,Soporte,62,0
buenas la pantalla se kueda en blanso a,Soporte,39,0
por fabor kuiero sanselar mi suenta ya pusa resulta kue son mi sontrato,Reclamos,71,1
ayuda su servicio es una porqueria mmm,Reclamos,38,0
buenos dias tienen fibra optica pucha o sea con mi tarjeta,Ventas,58,0
buenas soporte son la sonfigurasion del proxy pusa entonses de la aplisasion,Soporte,76,0
buenos dias tengo un problema de conexion con el servicio ahh,Soporte,61,0
ayuda me prometieron algo que no cumplen ehh entonces con mi contrato,Reclamos,69,0
buenos dias no me llego el cobro,Facturacion,32,0
oye soporte tesniso urgente por fabor resulta kue para oy mismo,Soporte,63,1
buenos dias se cayo la red,Soporte,26,0
hola aplicacion movil no abre se cierra ehh entonces para hoy mismo,Soporte,67,0
estimados falla tecnica en la red local este... pero con mi tarjeta,Soporte,67,0
ayuda no resibo sorreos de berifisasion mmm,Soporte,43,0
problemas para ingresar mmm o sea con mi tarjeta,Soporte,48,0
buenos dias mi cuenta registra saldo a favor pucha porque en el sistema,Facturacion,71,0
ayuda exijo una devolucion por falta de servicio osea,Reclamos,53,0
oye soporte tecnico urgente por favor ehh entonces en el sistema,Soporte,64,1
oye cuanto es mi deuda pucha,Facturacion,28,0
me interesa el serbisio ogar mmm entonses del serbisio,Ventas,54,0
por fabor no ay señal en mi sona e porkue de la aplisasion,Soporte,58,0
por fabor soporte son la sonfigurasion del proxy mmm resulta kue para oy mismo,Soporte,78,0
estimados pago pendiente sin procesar osea,Facturacion,42,0
oye exijo solucion inmediata pucha,Reclamos,34,0
ayuda es la tersera bes kue llamo por lo mismo osea,Reclamos,51,0
voy a denunciarlos ante el regulador pucha,Reclamos,42,1
por fabor pagar son tarjeta de sredito e,Facturacion,40,0
quiero renovar mi plan osea entonces de la aplicacion,Ventas,53,0
oye mi transferencia no pasa osea,Facturacion,33,0
por favor me estan cobrando de mas en la factura osea,Facturacion,53,0
tengo un problema con el servicio es pesimo mmm pero para hoy mismo,Reclamos,67,0
no tengo acceso al portal de clientes ahh porque para hoy mismo,Soporte,63,0
oye costo de instalacion de la fibra mmm,Ventas,40,0
ayuda por que aumento el precio del recibo mmm y en el sistema,Facturacion,62,0
hola pago pendiente sin procesar mmm resulta que ahora mismo,Facturacion,60,0
buenas necesito resetear mi clave de la cuenta ehh,Soporte,50,0
buenas no reconoce mis credenciales este...,Soporte,43,0
oye error de login usuario bloqueado pucha,Soporte,42,0
mi internet no funciona este... resulta que ahora mismo,Soporte,55,0
buenos dias el serbisio de internet esta lento este...,Soporte,54,0
oye me interesa el servicio hogar,Ventas,33,0
por favor voy a denunciarlos ante el regulador mmm pero con mi contrato,Reclamos,71,1
recibo en formato digital por favor mmm,Facturacion,39,0
buenos dias olvide mi contrasena osea,Soporte,37,0
estimados cambiar clave de mi red inalambrica,Soporte,45,0
por favor me interesa adquirir otra linea de servicio,Ventas,53,0
por favor el router tiene la luz roja pucha entonces con mi contrato,Soporte,68,0
quiero comprar un plan ilimitado,Ventas,32,0
buenos dias quiero pagar mi recibo ehh,Facturacion,38,0
por fabor kuiero renobar mi plan e,Ventas,34,0
estimados velocidad de internet inestable ehh pero rapido,Soporte,57,0
oye exijo solucion inmediata osea,Reclamos,33,0
me estan cobrando de mas en la factura mmm y rapido,Facturacion,51,0
por fabor falla de red inalambrisa e,Soporte,36,0
informasion de planes,Ventas,21,0
por favor como adquiero un chip nuevo ehh,Ventas,41,0
soporte son la sonfigurasion del proxy a entonses del serbisio,Soporte,62,0
buenas falla de red inalambrica pucha,Soporte,37,0
buenas pesimo soporte de la app a o sea rapido,Reclamos,46,0
estimados olvide mi contrasena este... pero de la aplicacion,Soporte,60,0
estimados que beneficios tiene el plan premium ahh,Ventas,50,0
buenos dias olvide mi contrasena pucha pero del servicio,Soporte,56,0
ayuda pagina web dice error 500 ahh o sea de la aplicacion,Soporte,58,0
oye pesimo soporte de la app pucha,Reclamos,34,0
estimados no recibo correos de verificacion ahh resulta que para hoy mismo,Soporte,74,0
buenas quiero contratar telefonia fija ahh,Ventas,42,0
buenas aplicacion movil no abre se cierra resulta que sobre mi cuenta,Soporte,69,0
exijo ablar son un superbisor por este sobro a o sea sobre mi suenta,Facturacion,68,0
quiero renovar mi plan osea o sea en el sistema,Ventas,47,0
buenas kuiero afiliar mi pago a debito automatiso a,Facturacion,51,0
por fabor boy a denunsiarlos ante el regulador mmm entonses son mi sontrato,Reclamos,75,0
ayuda la sonexion se sae sonstantemente a o sea aora mismo,Soporte,58,0
estimados el router tiene la luz roja ehh,Soporte,41,0
nadie me da solucion pucha o sea sobre mi cuenta,Reclamos,48,0
buenas soporte tesniso urgente por fabor este...,Soporte,48,1
por fabor pago pendiente sin prosesar a y de la aplisasion,Facturacion,58,0
buenas boy a presentar una kueja sobre mi suenta pusa,Reclamos,53,0
ayuda nadie me da solucion osea,Reclamos,31,0
buenos dias necesito mi comprobante mmm y en el sistema,Facturacion,55,0
por favor mi computador no se conecta al servidor este... o sea para hoy mismo,Soporte,78,0
buenas aclaracion de cargos adicionales osea porque rapido,Facturacion,58,0
estimados no hay señal en mi zona pucha pero de la aplicacion,Soporte,61,0
ayuda no puedo ingresar al sistema mmm,Soporte,38,0
estimados solicitar cotizacion corporativa ehh,Ventas,46,0
por favor error en el navegador al abrir la app ehh porque rapido,Soporte,65,0
buenas exijo solucion inmediata este... y con mi tarjeta,Reclamos,56,0
hola me siento estafado con este plan osea,Reclamos,42,1
por favor recibo en formato digital por favor ehh,Facturacion,49,0
estimados el internet es una basura mmm pero son mi sontrato,Reclamos,60,1
por fabor llebo dias sin sonexion de internet a,Reclamos,47,0
ayuda solucionen este problema con el pago ya este...,Soporte,53,1
recibo en formato digital por favor este... porque ahora mismo,Facturacion,62,0
buenas se cayo la red ahh pero del servicio,Soporte,43,0
buenas no recibo correos de verificacion mmm y del servicio,Soporte,59,0
estimados se dessonesta a sada rato porkue son mi sontrato,Soporte,58,0
estimados soporte tecnico urgente por favor ahh resulta que de la aplicacion,Soporte,76,1
oye me estan cobrando de mas en la factura ehh,Facturacion,46,0
por favor recibo en formato digital por favor pucha,Facturacion,51,0
buenos dias no me carga la pagina web ahh,Soporte,41,0
oye tengo un problema de conexion con el servicio osea,Soporte,54,0
estimados quiero afiliar mi pago a debito automatico pero para hoy mismo,Facturacion,72,0
hola cuales son los requisitos para contratar osea pero en el sistema,Ventas,69,0
por favor el internet va a paso de tortuga o sea con mi tarjeta,Soporte,63,0
por favor quiero cancelar mi cuenta ya ahh,Reclamos,42,1
hola quiero aumentar la velocidad contratada mmm y en el sistema,Ventas,64,0
oye olvide mi contrasena,Soporte,24,0
buenas mi cuenta registra saldo a favor ehh,Facturacion,43,0
oye falla tecnica en la red local osea y rapido,Facturacion,47,0
por favor falla de red inalambrica,Soporte,34,0
ayuda kuiero pagar mi resibo,Facturacion,28,0
sambiar slabe de mi red inalambrisa osea,Soporte,40,0
mi transferencia no pasa osea entonces rapido,Facturacion,45,0
por favor tengo un problema de conexion con el servicio pucha o sea del servicio,Soporte,80,0
oye deseo adkuirir fibra simetrisa mmm o sea para oy mismo,Ventas,58,0
estimados la conexion se cae constantemente mmm resulta que en el sistema,Soporte,73,0
ola olbide mi sontrasena osea,Soporte,29,0
buenos dias suanto es mi deuda este...,Facturacion,38,0
estimados recibo en formato digital por favor este... pero ahora mismo,Facturacion,70,0
estimados satalogo de ekuipos disponibles este... porkue son mi sontrato,Ventas,72,0
por fabor problemas para ingresar,Soporte,33,0
oye soporte tecnico urgente por favor o sea con mi tarjeta,Soporte,58,1
su servicio es una porqueria este... entonces ahora mismo,Reclamos,57,0
hola catalogo de equipos disponibles ahh,Ventas,40,0
hola costos adicionales por activacion ehh,Ventas,42,0
buenos dias el sistema esta caido este...,Soporte,41,0
oye el monto de este mes es incorrecto este...,Facturacion,46,0
hola planes postpago con gigas libres mmm entonces de la aplicacion,Ventas,67,0
buenas me sobraron doble estoy arto del serbisio a pero rapido,Reclamos,62,0
por favor como adquiero un chip nuevo este... resulta que del servicio,Ventas,70,0
por favor quiero afiliar mi pago a debito automatico mmm,Facturacion,56,0
hola quiero cancelar mi cuenta ya pucha porque rapido,Reclamos,53,1
mi cuenta aparece como suspendida pucha entonces ahora mismo,Soporte,60,0
estimados quiero comprar un plan ilimitado,Ventas,42,0
estimados quiero renovar mi plan osea,Ventas,37,0
ola exijo ablar son un superbisor por este sobro pusa,Reclamos,53,0
ayuda la pantalla se queda en blanco osea resulta que rapido,Soporte,60,0
ayuda confirmar si ya ingreso mi pago este...,Facturacion,45,1
hola no reconoce mis credenciales mmm resulta que de la aplicacion,Soporte,66,0
oye llevo dias sin conexion de internet pucha entonces del servicio,Reclamos,67,0
por favor planes familiares de telefonia o sea con mi tarjeta,Ventas,61,0
oye me prometieron algo que no cumplen,Reclamos,38,0
hola me prometieron algo que no cumplen osea resulta que con mi contrato,Reclamos,72,0
buenas tengo un problema de conexion con el servicio pucha,Soporte,58,0
buenas mi cuenta aparece como suspendida osea,Soporte,45,0
buenas exijo solucion inmediata ehh,Reclamos,35,0
buenos dias nesesito resetear mi slabe de la suenta e o sea de la aplisasion,Soporte,76,0
buenas me cobraron doble estoy harto del servicio,Reclamos,49,1
hola voy a presentar una queja sobre mi cuenta ehh,Reclamos,50,1
por favor mi modem parpadea sin parar pucha pero con mi tarjeta,Soporte,63,0
buenos dias no me llego el cobro osea,Facturacion,37,0
buenas sosto de instalasion de la fibra a,Ventas,41,0
por favor error de red al descargar archivos mmm,Soporte,48,0
buenos dias velocidad de internet inestable ehh pero rapido,Soporte,59,0
buenas confirmar si ya ingreso mi pago este... resulta que rapido,Facturacion,65,1
por favor nadie atiende mis reclamos pucha o sea del servicio,Reclamos,61,0
no puedo conectar el wifi mmm o sea ahora mismo,Soporte,47,0
donde pago mi mensualidad,Ventas,25,0
ayuda se cayo la red pucha entonces del servicio,Soporte,48,0
oye mi cuenta registra saldo a favor pucha,Facturacion,42,0
ayuda que beneficios tiene el plan premium mmm,Ventas,46,0
ola suales son las promosiones de internet entonses son mi tarjeta,Ventas,66,0
hola me estan cobrando de mas en la factura entonces del servicio,Facturacion,65,0
oye asesor de bentas por fabor este...,Ventas,38,0
ola soporte son la sonfigurasion del proxy,Soporte,42,0
ola el serbisio de internet esta lento mmm o sea sobre mi suenta,Soporte,64,0
buenos dias el sistema esta caido ehh,Soporte,37,0
estimados planes familiares de telefonia este... resulta kue de la aplisasion,Ventas,77,0
buenos dias me interesa adquirir otra linea de servicio este... pero ahora mismo,Ventas,80,0
buenos dias soporte con la configuracion del proxy osea,Soporte,55,0
buenas se desconecta a cada rato osea,Soporte,37,0
oye aplicacion movil no abre se cierra osea pero ahora mismo,Soporte,60,0
ayuda soporte con la configuracion del proxy ahh,Soporte,48,0
buenos dias el serbisio de internet esta lento e resulta kue rapido,Facturacion,67,0
ayuda no tengo acceso al portal de clientes ehh,Soporte,47,0
ayuda no tengo acceso al portal de clientes,Soporte,43,0
hola metodos de pago habilitados mmm,Facturacion,36,0
por favor necesito mi comprobante mmm pero ahora mismo,Facturacion,54,0
ayuda quiero ver mi estado de cuenta entonces con mi tarjeta,Facturacion,60,0
servicio inestable exijo cancelacion sin penalidad,Reclamos,50,0
buenas somprar nuebo ekuipo pusa porkue rapido,Ventas,46,0
ayuda tienen fibra optica ahh o sea ahora mismo,Ventas,47,0
oye reclamar por cobro excesivo,Reclamos,31,0
ayuda deseo adquirir fibra simetrica ehh porque de la aplicacion,Ventas,64,0
hola asesor de ventas por favor este... porque en el sistema,Ventas,60,0
buenos dias se cayo la red ehh porque en el sistema,Soporte,51,0
nadie me da solucion ahh,Reclamos,24,0
buenos dias pesimo soporte de la app mmm pero de la aplicacion,Reclamos,62,0
por fabor pago pendiente sin prosesar e porkue sobre mi suenta,Facturacion,62,0
buenos dias falla de red inalambrica pucha o sea rapido,Soporte,55,0
estimados el internet va a paso de tortuga mmm,Soporte,46,0
ola informasion sobre sobertura de planes entonses son mi tarjeta,Ventas,65,0
ola sosto de instalasion este...,Facturacion,32,0
ayuda tengo un problema de conexion con el servicio mmm,Soporte,55,0
ayuda kue benefisios tiene el plan premium este...,Ventas,50,0
hola me estan cobrando de mas en la factura ehh,Facturacion,47,0
ayuda quiero pagar mi recibo mmm,Facturacion,32,0
por favor solicitar cotizacion corporativa ehh,Ventas,46,0
ayuda exijo una debolusion por falta de serbisio e,Reclamos,50,0
buenos dias presios del pakuete a,Ventas,33,0
estimados kuiero somprar un plan ilimitado este... o sea para oy mismo,Ventas,70,0
buenas cambiar clave de mi red inalambrica mmm,Soporte,46,0
estimados costo de instalacion y del servicio,Ventas,45,0
oye quiero suspender el servicio definitivamente pucha,Soporte,54,0
buenas soporte tecnico urgente por favor ehh resulta que con mi contrato,Soporte,72,1
buenas necesito mi comprobante ahh,Ventas,34,0
buenos dias falla de red inalambrica este... pero con mi tarjeta,Soporte,64,0
buenos dias costo de instalacion osea,Ventas,37,0
estimados el monto de este mes es incorrecto ahh,Facturacion,48,0
buenas me interesa el servicio hogar pucha,Ventas,42,0
buenas cambiar mi fecha de vencimiento este...,Reclamos,46,0
hola facturacion de este mes atrasada mmm,Facturacion,41,0
por fabor kuiero solisitar un reembolso de sobro a y son mi tarjeta,Facturacion,67,0
por favor me estan cobrando de mas en la factura osea y con mi contrato,Facturacion,71,0
estimados soporte tesniso urgente por fabor e,Soporte,45,1
oye aclaracion de cargos adicionales o sea de la aplicacion,Facturacion,59,0
estimados pagina web dice error 500,Soporte,35,0
estimados el servicio de internet esta lento ehh,Soporte,48,0
ayuda el monto de este mes es incorrecto ahh resulta que en el sistema,Facturacion,70,0
buenas factura duplicada en mi cuenta ahh y con mi tarjeta,Facturacion,58,0
buenos dias cobro indebido registrado ehh porque para hoy mismo,Facturacion,63,0
hola quiero rescindir mi contrato,Reclamos,33,0
hola error de red al descargar archivos pucha pero ahora mismo,Facturacion,62,0
se sayo la red este...,Soporte,22,0
buenas pagina web dice error 500 ahh,Soporte,36,0
hola quiero dar de alta mi ruc ehh entonces en el sistema,Facturacion,57,0
oye mi computador no se conecta al servidor osea,Soporte,48,0
estimados velocidad de internet inestable este... entonces del servicio,Soporte,71,0
oye el monto de este mes es incorrecto mmm,Facturacion,42,0
ayuda pago pendiente sin procesar ehh,Facturacion,37,0
buenas deseo adkuirir fibra simetrisa,Ventas,37,0
buenos dias pagina web dice error 500 mmm,Soporte,41,0
ayuda detalles del sislo de fasturasion pusa,Facturacion,44,0
buenas pago pendiente sin procesar osea entonces de la aplicacion,Facturacion,65,0
oye tengo un problema son el serbisio es pesimo este... porkue son mi sontrato,Reclamos,78,0
hola mi transferencia no pasa este...,Facturacion,37,0
hola el internet va a paso de tortuga,Soporte,37,0
servicio inestable exijo cancelacion sin penalidad ahh,Reclamos,54,0
buenas como adquiero un chip nuevo,Ventas,34,0
estimados tengo un problema de conexion con el servicio ehh,Soporte,59,0
oye comprar nuevo equipo ehh,Ventas,28,0
por favor quiero pasarme a postpago ehh o sea con mi contrato,Ventas,61,0
buenos dias el servicio de internet esta lento osea pero de la aplicacion,Soporte,73,0
buenos dias quiero pasarme a postpago pucha,Ventas,43,0
estimados cuanto es mi deuda resulta que con mi tarjeta,Facturacion,55,0
mi transferencia no pasa o sea con mi contrato,Facturacion,46,0
recibo en formato digital por favor ehh,Facturacion,39,0
hola necesito resetear mi clave de la cuenta pucha,Soporte,50,0
buenas descuento no aplicado en el recibo entonces con mi tarjeta,Facturacion,65,0
buenas me interesa adquirir otra linea de servicio este...,Ventas,58,0
buenas quiero contratar el servicio este...,Ventas,43,0
ayuda quiero aumentar la velocidad contratada ehh,Ventas,49,0
hola portabilidad de mi linea mmm,Ventas,33,0
buenas duda con mi factura del servicio este...,Facturacion,47,0
ayuda cuanto es mi deuda este... resulta que rapido,Facturacion,51,0
oye no puedo ingresar al sistema este...,Soporte,40,0
buenas llevo dias sin conexion de internet pucha,Reclamos,48,0
ayuda metodos de pago habilitados ahh o sea para hoy mismo,Facturacion,58,0
hola quiero rescindir mi contrato este... o sea de la aplicacion,Facturacion,64,0
oye quiero pagar mi recibo,Facturacion,26,0
buenos dias tengo un problema con el servicio es pesimo pucha,Reclamos,61,0
hola olvide mi contrasena ahh,Soporte,29,0
oye metodos de pago habilitados este... resulta que para hoy mismo,Facturacion,66,0
estimados quiero pagar mi recibo ahh porque de la aplicacion,Facturacion,60,0
buenos dias donde pago mi mensualidad,Facturacion,37,0
ola no resibo sorreos de berifisasion mmm,Soporte,41,0
buenas no tengo acceso al portal de clientes ehh pero sobre mi cuenta,Soporte,69,0
ayuda necesito mi comprobante mmm pero para hoy mismo,Facturacion,53,0
ayuda pago con tarjeta rechazado pucha entonces del servicio,Facturacion,60,0
mi modem parpadea sin parar ehh,Soporte,31,0
buenas error de login usuario bloqueado mmm entonces sobre mi cuenta,Soporte,68,0
oye no puedo conectar el wifi ahh resulta que en el sistema,Soporte,59,0
ayuda pesimo soporte de la app este...,Soporte,38,0
ola sambiar mi fesa de bensimiento osea o sea son mi sontrato,Facturacion,61,0
buenas tienen fibra optica ahh entonces sobre mi cuenta,Ventas,55,0
oye kuiero aumentar la belosidad sontratada este... pero de la aplisasion,Ventas,73,0
hola soporte con la configuracion del proxy mmm porque con mi contrato,Soporte,70,0
buenas por que aumento el precio del recibo,Facturacion,43,0
por favor duda con el desglose del cobro,Facturacion,40,0
buenas mi internet no funciona pero en el sistema,Soporte,49,0
oye exijo ablar son un superbisor por este sobro a,Reclamos,50,0
oye el serbisio de internet esta lento e entonses son mi sontrato,Soporte,65,0
oye pago pendiente sin procesar este... entonces en el sistema,Facturacion,62,0
hola llevo dias sin conexion de internet ehh pero para hoy mismo,Reclamos,64,0
buenos dias se cayo la red ehh porque para hoy mismo,Soporte,52,0
buenos dias donde pago mi mensualidad ahh porque del servicio,Facturacion,61,0
buenos dias se dessonesta a sada rato este... pero de la aplisasion,Soporte,67,0
ayuda portabilidad de mi linea,Ventas,30,0
por fabor kuiero sontratar el serbisio este...,Ventas,46,0
estimados no me sarga la pagina web este...,Soporte,43,0
estimados no me carga la pagina web osea pero con mi contrato,Soporte,61,0
estimados como adquiero un chip nuevo pucha entonces para hoy mismo,Ventas,67,0
ayuda se desconecta a cada rato ahh,Soporte,35,0
oye boy a presentar una kueja sobre mi suenta a o sea de la aplisasion,Reclamos,70,0
estimados no me sarga la pagina web osea resulta kue de la aplisasion,Soporte,69,0
buenos dias es la tercera vez que llamo por lo mismo ahh porque de la aplicacion,Reclamos,80,0
buenas quiero pagar mi recibo este... resulta que con mi tarjeta,Facturacion,64,0
ayuda no recibo correos de verificacion ehh y sobre mi cuenta,Soporte,61,0
buenas duda con mi factura del servicio mmm pero con mi tarjeta,Facturacion,63,0
estimados confirmar si ya ingreso mi pago mmm pero ahora mismo,Facturacion,62,1
estimados me interesa adquirir otra linea de servicio pucha entonces con mi tarjeta,Ventas,83,0
por favor cuales son los requisitos para contratar mmm entonces con mi tarjeta,Ventas,78,0
estimados necesito mi comprobante ehh,Facturacion,37,0
buenos dias olvide mi contrasena pucha,Soporte,38,0
estimados mi internet no funciona pucha,Soporte,39,0
por favor facturacion de este mes atrasada mmm porque para hoy mismo,Facturacion,68,0
buenos dias cobro indebido registrado ehh porque con mi contrato,Facturacion,64,0
ayuda falla de red inalambrica pucha entonces del servicio,Soporte,58,0
oye duda con el desglose del cobro ehh y ahora mismo,Facturacion,52,0
buenas no me llego el cobro ehh porque con mi tarjeta,Facturacion,53,0
hola costo de instalacion de la fibra este... pero en el sistema,Ventas,64,0
buenos dias me cobraron doble estoy harto del servicio pucha,Reclamos,60,1
ayuda llevo dias sin conexion de internet mmm pero para hoy mismo,Reclamos,65,0
ayuda se dessonesta a sada rato pusa o sea en el sistema,Soporte,56,0
hola no me llego el cobro entonces para hoy mismo,Facturacion,49,0
oye informacion de planes ehh,Ventas,29,0
oye problemas para ingresar,Soporte,27,0
buenas pagar son tarjeta de sredito osea,Facturacion,40,0
oye pagar con tarjeta de credito mmm,Facturacion,36,0
por favor recibo en formato digital por favor ahh,Facturacion,49,0
estimados belosidad de internet inestable e o sea son mi tarjeta,Soporte,64,0
buenos dias llevo dias sin conexion de internet ahh,Reclamos,51,0
cambiar clave de mi red inalambrica osea,Soporte,40,0
mi modem parpadea sin parar ehh y ahora mismo,Soporte,45,0
ayuda aclaracion de cargos adicionales osea o sea con mi tarjeta,Facturacion,64,0
ayuda quiero contratar telefonia fija este...,Ventas,45,0
ayuda kuiero ressindir mi sontrato pusa pero son mi tarjeta,Reclamos,59,0
buenos dias error en el nabegador al abrir la app este... o sea son mi tarjeta,Soporte,78,0
velocidad de internet inestable mmm,Soporte,35,0
ayuda problemas para ingresar pucha pero de la aplicacion,Soporte,57,0
buenos dias es la tercera vez que llamo por lo mismo pucha y con mi contrato,Reclamos,76,0
buenas exijo solucion inmediata pucha,Reclamos,37,0
estimados quiero ver mi estado de cuenta pucha,Facturacion,46,0
ayuda mi cuenta registra saldo a favor mmm entonces del servicio,Facturacion,64,0
por favor facturacion de este mes atrasada mmm entonces para hoy mismo,Facturacion,70,0
estimados no hay señal en mi zona ahh resulta que del servicio,Soporte,62,0
estimados sostos adisionales por astibasion este...,Ventas,51,0
buenas descuento no aplicado en el recibo osea y con mi contrato,Facturacion,64,0
por favor se desconecta a cada rato osea resulta que del servicio,Soporte,65,0
buenos dias quiero contratar el servicio este... entonces para hoy mismo,Ventas,72,0
hola cambiar clave de mi red inalambrica o sea para hoy mismo,Soporte,61,0
oye kuiero darme de baja osea o sea del serbisio,Reclamos,48,1
mi transferencia no pasa,Facturacion,24,0
oye no hay señal en mi zona pucha,Soporte,33,0
buenos dias quiero rescindir mi contrato este...,Reclamos,48,0
tengo un problema de conexion con el servicio mmm,Soporte,49,0
oye como adquiero un chip nuevo pucha resulta que con mi contrato,Ventas,65,0
por fabor kuiero pagar mi resibo a,Facturacion,34,0
oye soporte con la configuracion del proxy pucha resulta que rapido,Soporte,67,0
estimados metodos de pago abilitados pusa,Facturacion,41,0
quiero ver mi estado de cuenta este... y para hoy mismo,Facturacion,55,0
buenas quiero darme de baja ehh resulta que ahora mismo,Reclamos,55,1
estimados deseo adquirir fibra simetrica ahh,Ventas,44,0
soporte con la configuracion del proxy este... entonces para hoy mismo,Soporte,70,0
ola donde reporto mi somprobante este...,Facturacion,40,0
ayuda me estan sobrando de mas en la fastura pusa,Facturacion,49,0
estimados se desconecta a cada rato pucha,Soporte,41,0
estimados presios del pakuete e resulta kue rapido,Ventas,50,0
nadie me da solucion mmm resulta que ahora mismo,Reclamos,48,0
hola error de login usuario bloqueado este...,Soporte,45,0
buenas error de red al descargar archivos mmm,Soporte,45,0
aplicacion movil no abre se cierra pucha pero con mi tarjeta,Soporte,60,0
informacion sobre cobertura de planes pucha,Ventas,43,0
buenos dias servicio inestable exijo cancelacion sin penalidad ahh pero ahora mismo,Reclamos,83,0
quiero pasarme a postpago este... entonces sobre mi cuenta,Ventas,58,0
buenas me interesa adquirir otra linea de servicio pucha o sea con mi tarjeta,Ventas,77,0
oye asesor de ventas por favor ehh,Ventas,34,0
buenas donde reporto mi somprobante porkue en el sistema,Facturacion,56,0
ayuda recibo en formato digital por favor este... resulta que de la aplicacion,Facturacion,78,0
por favor descuento no aplicado en el recibo ehh,Facturacion,48,0
hola tengo un problema de conexion con el servicio pucha,Soporte,56,0
por favor necesito resetear mi clave de la cuenta mmm resulta que con mi tarjeta,Soporte,80,0
buenas sambiar slabe de mi red inalambrisa,Soporte,42,0
buenas informasion de planes a y son mi tarjeta,Ventas,47,0
estimados velocidad de internet inestable pucha porque sobre mi cuenta,Soporte,70,0
planes familiares de telefonia pucha,Ventas,36,0
hola el router tiene la luz roja ahh,Soporte,36,0
buenos dias quiero ver mi estado de cuenta mmm,Facturacion,46,0
buenos dias donde pago mi mensualidad y en el sistema,Facturacion,53,0
buenos dias detalles del ciclo de facturacion osea entonces del servicio,Facturacion,72,0
estimados es un robo este sobro de penalidad e porkue son mi sontrato,Reclamos,69,1
buenos dias por que aumento el precio del recibo este...,Facturacion,56,0
oye es un robo este cobro de penalidad porque sobre mi cuenta,Reclamos,61,1
buenos dias falla de red inalambrica pucha o sea sobre mi cuenta,Soporte,64,0
ayuda asesor de ventas por favor osea,Ventas,37,0
